vote_2020,race_ethnicity,education,age,age_grouped
Donald Trump,White,Associate Degree or In Progress,49,40-49
I am not sure/don't know,White,College Degree or In Progress,39,30-39
Donald Trump,White,College Degree or In Progress,46,40-49
Donald Trump,White,High School or Less,75,60+
Donald Trump,White,High School or Less,52,50-59
I would not vote,White,Trade Certificate,44,40-49
Joe Biden,White,College Degree or In Progress,21,18-29
Joe Biden,"Black, or African American",College Degree or In Progress,38,30-39
Donald Trump,White,College Degree or In Progress,69,60+
Donald Trump,White,College Degree or In Progress,59,50-59
I am not sure/don't know,White,Masters/Doctorate Degree or In Progress,51,50-59
Donald Trump,White,Masters/Doctorate Degree or In Progress,74,60+
Joe Biden,White,College Degree or In Progress,55,50-59
Donald Trump,White,Trade Certificate,62,60+
Joe Biden,White,High School or Less,42,40-49
Joe Biden,White,College Degree or In Progress,81,60+
Joe Biden,White,College Degree or In Progress,22,18-29
Donald Trump,White,College Degree or In Progress,73,60+
Donald Trump,White,College Degree or In Progress,71,60+
Joe Biden,White,High School or Less,63,60+
Joe Biden,White,College Degree or In Progress,41,40-49
Donald Trump,White,Masters/Doctorate Degree or In Progress,71,60+
Joe Biden,White,College Degree or In Progress,60,60+
Donald Trump,White,College Degree or In Progress,55,50-59
Joe Biden,White,Associate Degree or In Progress,68,60+
Donald Trump,White,College Degree or In Progress,69,60+
Donald Trump,White,Masters/Doctorate Degree or In Progress,33,30-39
Joe Biden,White,College Degree or In Progress,70,60+
Donald Trump,White,Associate Degree or In Progress,32,30-39
Donald Trump,White,College Degree or In Progress,77,60+
Donald Trump,White,Associate Degree or In Progress,65,60+
Joe Biden,"Black, or African American",College Degree or In Progress,22,18-29
I would not vote,White,High School or Less,47,40-49
Joe Biden,White,Masters/Doctorate Degree or In Progress,63,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,79,60+
Donald Trump,White,College Degree or In Progress,70,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,54,50-59
Joe Biden,White,College Degree or In Progress,72,60+
